SUBZONE_N,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_PEAK,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,BUS_TAP_IN_TAP_OUT_VOLUME_WEEKLY,BUS_PEAK_HOUR_PERCENTAGE (%),BUS_WEEKDAY_PERCENTAGE (%),MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_PEAK,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKDAY,MRT_TAP_IN_TAP_OUT_VOLUME_WEEKLY,MRT_PEAK_HOUR_PERCENTAGE (%),MRT_WEEKDAY_PERCENTAGE (%),TAP_IN_TAP_OUT_VOLUME_WEEKDAY_PEAK,TAP_IN_TAP_OUT_VOLUME_PEAK,TAP_IN_TAP_OUT_VOLUME_WEEKDAY,TAP_IN_TAP_OUT_VOLUME_WEEKLY,PEAK_HOUR_PERCENTAGE (%),WEEKDAY_PERCENTAGE (%),"('2020', 'Male Percentage')","('2020', '00 - 19')","('2020', '20 - 39')","('2020', '40 - 59')","('2020', '60 & Over')","('2020', 'Average Income')"
KAMPONG UBI,155790.0,829365.0,704199.0,3904949.0,21.23881771567311,90.16750282782182,63705.0,335482.0,246671.0,1355567.0,24.748463189204223,90.98443677073874,219495.0,1164847.0,950870.0,5260516.0,22.143208004690035,90.37801614898615,0.49915254237288137,1940,3600,3310,2950,8345.979452054795
KEMBANGAN,137858.0,757518.0,773708.0,4415007.0,17.15779839080663,87.62251113078644,66275.0,363005.0,332890.0,1914204.0,18.963757258891945,86.95259230468643,204133.0,1120523.0,1106598.0,6329211.0,17.70399185617291,87.41990115355611,0.492660795302909,6030,9950,10370,11120,13195.00436919716
KHATIB,129389.0,708611.0,751308.0,4272696.0,16.584634151364853,87.91966477371665,198951.0,1082959.0,1062645.0,6022046.0,17.983240247583627,88.22956516771875,328340.0,1791570.0,1813953.0,10294742.0,17.402767354441714,88.10094512324835,0.48585365853658535,1470,2970,2990,2830,8457.788649706457
KOVAN,88445.0,488965.0,538775.0,3098128.0,15.782595167146097,86.95170115631116,117992.0,655508.0,669323.0,3885404.0,16.871038378505812,86.13299929685562,206437.0,1144473.0,1208098.0,6983532.0,16.388168622983326,86.49620278105692,0.482258064516129,4700,6760,7340,6010,21258.382700938393
LAVENDER,75261.0,424135.0,487173.0,2855389.0,14.853843031544914,85.30764109548646,92817.0,504357.0,487876.0,2781586.0,18.131993761832277,87.69745030353187,168078.0,928492.0,975049.0,5636975.0,16.471458539376172,86.48690121918227,0.5237603305785123,1610,2320,3110,2650,10963.872570194384
LEEDON PARK,9777.0,55602.0,66453.0,391108.0,14.21653354060771,84.95479509496099,40951.0,227192.0,256974.0,1482467.0,15.325265250423787,86.67106923796618,50728.0,282794.0,323427.0,1873575.0,15.093817968322591,86.31279772627197,0.45962732919254656,1390,1470,2090,1500,24203.020217729394
LORONG CHUAN,6246.0,33889.0,38356.0,213597.0,15.865859539225738,89.78590523275139,50812.0,269860.0,239518.0,1323070.0,20.396502074720157,90.51599688603022,57058.0,303749.0,277874.0,1536667.0,19.766741916108046,90.4145140098668,0.4817432273262662,1730,2190,2630,1960,23290.42619047619
MACPHERSON,106401.0,579173.0,578198.0,3277218.0,17.67270288397049,88.21476020209825,30244.0,161087.0,129344.0,717414.0,22.453841157267632,90.1459965933199,136645.0,740260.0,707542.0,3994632.0,18.531369097328614,88.56159966675278,0.4959464222770532,4590,7690,8170,7930,7657.921248669741
MARITIME SQUARE,127851.0,716363.0,771387.0,4549705.0,15.745262604938123,84.77329848858332,60521.0,318482.0,236540.0,1313504.0,24.246747630764734,90.04159865520013,188372.0,1034845.0,1007927.0,5863209.0,17.64980576336269,85.95352817885222,0.4889502762430939,800,790,1380,680,20672.345679012345
MATILDA,167642.0,930475.0,1060723.0,6104659.0,15.24204709878144,86.87815322690423,11931.0,65657.0,75667.0,430404.0,15.25473740950363,87.90229644705904,179573.0,996132.0,1136390.0,6535063.0,15.242882891871126,86.94560404390899,0.49061302681992336,15640,17460,13630,5490,10311.905765179084
