Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,SUBZONE_N
0.5,10.000000000000002,40,30.000000000000004,30,26058.0,PORT
0.4829351535836178,1790.0000000000002,2900,3460.0000000000023,3580,9373.423143350605,POTONG PASIR
0.4926470588235294,13110.000000000004,11900,16570.00000000001,7390,11076.111225117995,PUNGGOL FIELD
0.490566037735849,6950.000000000001,8110,5340.000000000002,1900,8570.019775280898,PUNGGOL TOWN CENTRE
0.4849340866290019,2289.999999999999,2500,3499.9999999999995,2330,10145.060836501902,REDHILL
0.4935500083766125,13070.000000000011,16590,18889.999999999996,11150,11012.36488524041,RIVERVALE
0.4902298850574713,8099.999999999999,10420,11040.00000000001,5270,10563.763005780347,SEMBAWANG CENTRAL
0.4928492849284928,2329.9999999999995,2810,2790.0,1190,21760.27713625866,SEMBAWANG SPRINGS
0.4902087716458974,14219.999999999987,18960,18420.000000000007,10220,10369.143321416965,SENGKANG TOWN CENTRE
0.4828897338403042,7150.0,11060,12149.99999999999,9090,14629.369254341165,SIMEI
0.4975609756097561,329.99999999999994,470,570.0000000000002,690,4662.009852216749,SUNGEI ROAD
0.498997995991984,8900.000000000002,11540,12270.0,7220,10554.410127851592,TAMAN JURONG
0.4883561120867374,23380.00000000002,38540,37559.999999999985,31530,8932.523557802804,TAMPINES EAST
0.4914637208134572,15519.999999999995,23820,22710.000000000004,17630,9882.745532343315,TAMPINES WEST
0.4707470747074707,2269.999999999999,2480,4060.0000000000005,2290,15983.759781619654,TANJONG RHU
0.4722222222222222,2780.0,3790,4659.999999999999,3870,9250.393638170974,TIONG BAHRU STATION
0.4623617552622191,5180.000000000005,6980,8800.000000000007,7060,8907.312971613366,TOA PAYOH CENTRAL
0.4578397212543554,2100.0,3580,4140.0,4550,9548.348559381588,TOA PAYOH WEST
0.4925373134328358,110.00000000000004,180,190.0,200,26058.0,TURF CLUB
0.4817965294317795,5180.000000000005,7080,8779.999999999996,8350,16754.900789564024,UPPER THOMSON
0.4772727272727273,149.99999999999997,400,509.9999999999999,700,7023.116279069767,VICTORIA
0.4952550415183867,15700.000000000002,16950,12970.000000000004,4970,9563.958102766801,WATERWAY EAST
0.4999494898474594,23129.999999999985,30470,31479.99999999998,13910,9709.30099250557,WOODLANDS EAST
0.5089943969330581,6220.000000000001,10300,9840.0,7560,7374.195426195426,WOODLANDS WEST
0.4977711738484398,8460.000000000007,11480,13730.000000000002,6730,11017.340267459138,YEW TEE
0.4956408829530699,9000.000000000004,14410,17210.000000000004,13280,8709.09291869614,YISHUN WEST
