YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKDAY,12,TRAIN,EW15,18596,20751
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,SW4,281,102
2021-02,WEEKDAY,7,TRAIN,SW4,3382,849
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1361,6891
2021-02,WEEKDAY,22,TRAIN,DT33,2529,15560
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,16522,33450
2021-02,WEEKDAY,11,TRAIN,EW24/NS1,28258,54189
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,NS13,14008,18910
2021-02,WEEKDAY,21,TRAIN,NS13,28616,45322
2021-02,WEEKDAY,5,TRAIN,NS13,20934,3060
2021-02,WEEKENDS/HOLIDAY,5,TRAIN,NS13,3906,556
2021-02,WEEKENDS/HOLIDAY,5,TRAIN,PW6,103,3
2021-02,WEEKDAY,5,TRAIN,PW6,566,3
2021-02,WEEKDAY,13,TRAIN,CC21,6814,6594
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,CC21,3453,3554
2021-02,WEEKDAY,14,TRAIN,PE7,2608,3707
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,PE7,1430,1284
2021-02,WEEKDAY,10,TRAIN,CC20,3831,2375
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,CC20,2189,1386
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,EW25,1559,3153
2021-02,WEEKDAY,21,TRAIN,EW25,2520,7908
2021-02,WEEKDAY,16,TRAIN,CC2,3825,1765
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,CC2,1319,909
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,CC12,1499,1453
2021-02,WEEKDAY,14,TRAIN,CC12,11455,3949
2021-02,WEEKDAY,16,TRAIN,NS20,41674,18680
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,NS20,10606,7818
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,NS14,10775,10678
2021-02,WEEKDAY,16,TRAIN,NS14,18521,26940
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,NS15,6428,3473
2021-02,WEEKDAY,11,TRAIN,NS15,16842,10475
2021-02,WEEKDAY,5,TRAIN,CC22/EW21,1799,947
2021-02,WEEKENDS/HOLIDAY,5,TRAIN,CC22/EW21,262,56
2021-02,WEEKDAY,11,TRAIN,BP4,6141,2455
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,BP4,871,481
2021-02,WEEKDAY,11,TRAIN,NS27/CE2,1434,1280
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,NS27/CE2,500,870
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,NS17/CC15,6774,2150
2021-02,WEEKDAY,9,TRAIN,NS17/CC15,21136,5498
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,EW10,2231,679
2021-02,WEEKDAY,6,TRAIN,EW10,12808,2739
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,NS28,293,2654
2021-02,WEEKDAY,8,TRAIN,NS28,924,2583
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,EW33,1017,1924
2021-02,WEEKDAY,7,TRAIN,EW33,2087,10230
2021-02,WEEKDAY,18,TRAIN,BP12,3001,4905
2021-02,WEEKENDS/HOLIDAY,18,TRAIN,BP12,730,717
2021-02,WEEKDAY,0,TRAIN,EW14/NS26,218,41
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,EW14/NS26,111,35
2021-02,WEEKDAY,0,TRAIN,CG2,21,5
