REGION_N,REGION_C,PLN_AREA_N,PLN_AREA_C,SUBZONE_N,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011
,,,,,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income,Male Percentage,00 - 19,20 - 39,40 - 59,60 & Over,Average Income
NORTH-EAST REGION,NER,ANG MO KIO,AM,YIO CHU KANG,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
NORTH-EAST REGION,NER,ANG MO KIO,AM,YIO CHU KANG EAST,0.49643705463182897,790,1100,1200,1100,23606.77073170732,0.4940898345153664,820,1130,1230,1050,23605.266990291264,0.49760765550239233,790,1140,1250,1020,23650.625615763547,0.49627791563275436,770,1100,1200,980,23761.86224489796,0.49625935162094764,810,1100,1240,890,23775.948979591838,0.4950980392156863,870,1100,1310,830,23719.107769423557,0.49523809523809526,940,1110,1360,800,23751.513513513513,0.49622166246851385,880,1080,1300,720,23689.390180878552,0.49743589743589745,880,1080,1270,690,23581.11345646438,0.49473684210526314,920,1060,1260,560,23581.11345646438
NORTH-EAST REGION,NER,ANG MO KIO,AM,YIO CHU KANG NORTH,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,
NORTH-EAST REGION,NER,ANG MO KIO,AM,YIO CHU KANG WEST,0.47701863354037266,4240,5880,7430,6610,10208.467661691542,0.47794117647058826,4410,6010,7610,6460,10120.561604584527,0.4779647435897436,4640,6240,7830,6270,10035.060240963856,0.47800700661736084,4940,6590,8100,6060,9927.647150663544,0.4792696842906048,5160,6900,8370,5870,9854.541777947348,0.480225988700565,5330,7140,8500,5580,9817.810207939508,0.4810267857142857,5570,7410,8670,5240,9831.532661440837,0.48216255976461936,5780,7650,8830,4950,9815.774086378737,0.4814269952188305,5870,7820,8840,4670,9794.359069080163,0.4809713664371149,6100,8160,8980,4400,9803.367540029112
EAST REGION,ER,BEDOK,BD,BAYSHORE,0.48053691275167787,1760,1580,2790,1340,20844.870395634378,0.47885402455661663,1680,1570,2800,1290,20850.44722222222,0.47651933701657456,1690,1580,2720,1260,20869.960618846693,0.4767123287671233,1760,1690,2700,1170,20874.395543175488,0.47489823609226595,1770,1790,2700,1130,20872.52077562327,0.4786096256684492,1800,1900,2680,1090,20882.537517053206,0.4791386271870794,1810,2010,2600,1010,20892.993122420907,0.4807162534435262,1760,2040,2530,930,20908.79324894515,0.4764621968616263,1700,2120,2340,860,20906.279883381925,0.48,1620,2090,2240,780,20920.284417549166
EAST REGION,ER,BEDOK,BD,BEDOK NORTH,0.4850928641251222,13230,20760,24610,23260,8815.353974689766,0.4860050890585242,13740,21060,25220,22500,8777.27022417154,0.4871701767126604,14060,21290,25630,21650,8734.26838772528,0.48699594368885707,14770,21860,26240,20950,8684.357588856868,0.4881516587677725,15230,22440,26540,20210,8663.713093250655,0.4886535552193646,16060,23400,27000,19480,8609.681818181818,0.4897427178964071,17130,24640,27630,18850,8582.29125770372,0.4903124650016799,17830,25190,28200,18100,8551.155234657039,0.4919982218270727,18470,25820,28410,17300,8462.147766707712,0.49256526049124355,19190,26470,28660,16490,8431.620421753607
EAST REGION,ER,BEDOK,BD,BEDOK RESERVOIR,0.48998822143698467,5280,6820,7960,5420,12406.95080676899,0.4879095163806552,5410,6950,8050,5250,12355.55355746677,0.48819202477739065,5550,7110,8180,5010,12244.034134988364,0.48873615883925164,5800,7300,8330,4760,12143.132032146957,0.48847926267281105,5790,7440,8270,4550,11925.84520600693,0.4889763779527559,5740,7340,8030,4290,11581.014996053671,0.4897288414133114,5640,6970,7790,3950,11444.91718170581,0.49010717230008244,5660,7110,7800,3680,11315.963606286186,0.49194915254237287,5580,7010,7630,3410,10944.570578231293,0.49478260869565216,5440,6990,7420,3150,10625.189354275743
EAST REGION,ER,BEDOK,BD,BEDOK SOUTH,0.48265524625267664,7580,11490,13700,13930,14164.927630157701,0.4843947701391818,7910,11820,14070,13620,14084.022137079608,0.48406581962091233,8150,12190,14450,13230,13936.962387056104,0.48632094732543896,8670,12550,14880,12890,13659.180975911057,0.4866546257274734,9260,12930,15220,12450,13431.112325440194,0.4885719867161555,9850,13460,15760,12130,13296.182893180923,0.4894837476099426,10380,13940,16170,11830,13187.20879969124,0.48817080207732255,10500,13800,16370,11330,13181.476708074535,0.48862140304683094,11040,14480,16720,10950,13045.02865818941,0.4892180761297581,11380,14630,16830,10530,13004.040499621498
EAST REGION,ER,BEDOK,BD,FRANKEL,0.471440997390548,7390,8230,10920,7950,23602.873895109016,0.4713078939702884,7320,8390,10860,7760,23614.318720379146,0.47281810167499266,7330,8420,10750,7530,23634.700537955767,0.47227138643067845,7350,8450,10770,7330,23668.868468468467,0.4750741839762611,7380,8600,10640,7110,23694.41850619897,0.474232946082812,7380,8660,10580,6960,23659.978128797084,0.4747810329205678,7360,8650,10330,6770,23724.77729796422,0.47498474679682734,7340,8720,10170,6530,23751.762944479102,0.4750387596899225,7260,8680,10090,6210,23784.73540609137,0.4736346516007533,7300,8690,9900,5970,23835.73290529695
EAST REGION,ER,BEDOK,BD,KAKI BUKIT,0.4901749663526245,5960,10760,10410,10030,9338.80626857606,0.49070631970260226,6190,11010,10920,9570,9306.679627163781,0.4912919157785287,6520,11260,11480,9210,9290.30664928292,0.4920111590159777,7010,11650,11980,8810,9223.879327902241,0.49413526328924384,7420,11860,12420,8400,9157.769520461963,0.4953454189122979,7920,12190,12800,7910,9077.9275147929,0.49665711556829034,8570,12750,13260,7320,9091.37430972389,0.4963555137549965,9130,12900,13610,6900,9087.887104393008,0.4964012073368934,9660,13060,13870,6500,9111.751981351981,0.4975900849208171,10200,13280,13980,6120,9121.425610317827
