OBJECTID_left,STN_NAME,STN_NO,geometry,index_right,OBJECTID_right,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
10,SIMEI MRT STATION,EW3,POINT (41360.6138000004 36150.39589999989),213,214,4,SIMEI,TMSZ04,N,TAMPINES,TM,EAST REGION,ER,80BC46AD51E70C08,2014-12-05,41431.0631,35870.7852,7402.56077942,2778635.6553
173,SIXTH AVENUE MRT STATION,DT7,POINT (23985.52969999984 34777.14340000041),115,116,6,CORONATION ROAD,BTSZ06,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,5DB075FA57F73ADC,2014-12-05,24463.149,34200.3339,5905.90419263,1425083.17679
112,SOMERSET MRT STATION,NS23,POINT (28640.65600000042 31401.66980000027),52,53,3,SOMERSET,ORSZ03,Y,ORCHARD,OR,CENTRAL REGION,CR,F70C32D861DD6CA5,2014-12-05,28626.5611,31494.9048,3039.80523249,329437.9332
53,SOO TECK LRT STATION,PW7,POINT (35110.19880000036 42993.1699000001),265,266,3,MATILDA,PGSZ03,N,PUNGGOL,PG,NORTH-EAST REGION,NER,14D0DB33976B7B81,2014-12-05,35089.9853,42728.2745,5361.91596413,1418284.25473
66,SOUTH VIEW LRT STATION,BP2,POINT (18203.72429999989 40252.06860000081),219,220,3,CHOA CHU KANG CENTRAL,CKSZ03,N,CHOA CHU KANG,CK,WEST REGION,WR,CCB9716DE31DDEF5,2014-12-05,18465.672,40772.9207,4202.49660819,1097298.79854
110,STADIUM MRT STATION,CC6,POINT (32677.75260000024 31687.05470000021),67,68,5,TANJONG RHU,KLSZ05,N,KALLANG,KL,CENTRAL REGION,CR,928DCE8E44F904C8,2014-12-05,32740.1208,31438.3084,6515.75857503,2434594.02911
170,STEVENS MRT STATION,DT10,POINT (27188.23000000045 33591.66080000065),89,90,1,NASSIM,TNSZ01,N,TANGLIN,TN,CENTRAL REGION,CR,960862F1C1B08BFA,2014-12-05,27002.6928,32905.576,6241.33287686,2096085.23018
72,SUMANG LRT STATION,PW6,POINT (35260.29179999977 43365.13079999946),309,310,2,PUNGGOL TOWN CENTRE,PGSZ02,N,PUNGGOL,PG,NORTH-EAST REGION,NER,625C5BEC57D068FE,2014-12-05,35602.3777,43427.511,4896.76750758,1264384.78903
166,TAI SENG MRT STATION,CC11,POINT (34107.15259999968 35291.01640000008),156,157,12,JOO SENG,TPSZ12,N,TOA PAYOH,TP,CENTRAL REGION,CR,33EC42B8FE3B21D0,2014-12-05,33454.069,35419.7276,4254.53133336,1057165.2442
96,TAMPINES EAST MRT STATION,DT33,POINT (41501.07490000036 37586.61779999919),188,189,2,TAMPINES EAST,TMSZ02,N,TAMPINES,TM,EAST REGION,ER,21658EAAF84F4D8D,2014-12-05,41122.547,37392.389,10180.6240914,4339824.13578
142,TAMPINES MRT STATION,DT32,POINT (40213.02840000018 37463.36969999969),188,189,2,TAMPINES EAST,TMSZ02,N,TAMPINES,TM,EAST REGION,ER,21658EAAF84F4D8D,2014-12-05,41122.547,37392.389,10180.6240914,4339824.13578
11,TAMPINES MRT STATION,EW2,POINT (40445.42970000021 37266.99090000056),188,189,2,TAMPINES EAST,TMSZ02,N,TAMPINES,TM,EAST REGION,ER,21658EAAF84F4D8D,2014-12-05,41122.547,37392.389,10180.6240914,4339824.13578
97,TAMPINES WEST MRT STATION,DT31,POINT (39698.52759999968 36406.01429999992),181,182,3,TAMPINES WEST,TMSZ03,N,TAMPINES,TM,EAST REGION,ER,2E3EA3D1BBF9A601,2014-12-05,39421.6571,36739.2069,8058.33566026,3475209.88855
134,TAN KAH KEE MRT STATION,DT8,POINT (25106.86670000013 34234.96089999937),115,116,6,CORONATION ROAD,BTSZ06,N,BUKIT TIMAH,BT,CENTRAL REGION,CR,5DB075FA57F73ADC,2014-12-05,24463.149,34200.3339,5905.90419263,1425083.17679
40,TANAH MERAH MRT STATION,EW4,POINT (40578.86160000041 34379.41440000013),107,108,6,BEDOK SOUTH,BDSZ06,N,BEDOK,BD,EAST REGION,ER,1E89C4218E6421C2,2014-12-05,40379.4208,33744.2238,7811.58902531,2997307.45855
107,TANJONG PAGAR MRT STATION,EW15,POINT (29396.23110000044 28776.75760000013),61,62,9,TANJONG PAGAR,DTSZ09,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4FFE6642FB35D40A,2014-12-05,29397.831,28706.3515,1787.71045089,145518.663868
77,TECK LEE LRT STATION,PW2,POINT (36152.69930000044 43842.67210000008),276,277,1,NORTHSHORE,PGSZ01,N,PUNGGOL,PG,NORTH-EAST REGION,NER,317584A40150FF3F,2014-12-05,36169.5574,44222.7655,5355.63711782,1360000.63135
64,TECK WHYE LRT STATION,BP4,POINT (19140.79999999981 39852.46079999954),218,219,1,TECK WHYE,CKSZ01,N,CHOA CHU KANG,CK,WEST REGION,WR,B0AC5DFFC3C9CC3B,2014-12-05,19269.9942,40394.105,4531.98145589,1001591.78599
190,TELOK AYER MRT STATION,DT18,POINT (29667.62160000019 29414.58669999987),35,36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014-12-05,29153.9676,29158.0443,4297.59991003,587222.678854
189,TELOK BLANGAH MRT STATION,CC28,POINT (25376.84690000024 28138.96670000069),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
85,TEN MILE JUNCTION LRT STATION,BP14,POINT (19856.11890000012 40254.52500000037),218,219,1,TECK WHYE,CKSZ01,N,CHOA CHU KANG,CK,WEST REGION,WR,B0AC5DFFC3C9CC3B,2014-12-05,19269.9942,40394.105,4531.98145589,1001591.78599
