BUS_STOP_N,BUS_ROOF_N,LOC_DESC,geometry,index_right,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
14269,B01,BLK 10,POINT (26516.38739733491 28897.09809682146),24,25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014-12-05,26570.5173,28871.8922,2290.22726176,276826.812461
14271,B04,AL-AMIN MQUE,POINT (26428.93970089406 28677.79489933327),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14279,B03,BLK 25,POINT (26436.13839827944 28705.29720286094),24,25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014-12-05,26570.5173,28871.8922,2290.22726176,276826.812461
14281,B06,SAFRA MT FABER,POINT (26296.08740097564 28835.23230186664),23,24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014-12-05,25805.7867,27911.4193,13737.116181,2701634.33975
14291,B02,BLK 27,POINT (26658.76859756559 28577.33850004897),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14299,B01,OPP BLK 27,POINT (26669.46109767072 28595.63679871894),24,25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014-12-05,26570.5173,28871.8922,2290.22726176,276826.812461
14309,B03,BLK 41,POINT (26864.70350321848 28196.86680039205),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14319,B01,BLK 28,POINT (26603.24839942437 28427.3896997869),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14329,B01,BLK 67,POINT (25339.14812724292 28530.29367651232),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14331,B04,OPP BLK 70B,POINT (25536.5682320185 28819.52134489268),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14339,B03,BLK 70A,POINT (25530.79006197117 28800.34061192349),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14341,B02,OPP BLK 59,POINT (25805.46975929849 28708.23447005078),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14349,B01,BLK 59,POINT (25785.04300298728 28692.58639840968),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14351,B02,AFT BLK 48,POINT (25404.78731283266 28352.23585169949),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14359,B01,BLK 50,POINT (25441.88899946678 28374.59860102087),28,29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014-12-05,25280.2612,28791.4606,5317.78168432,1454827.64584
14369,B08,THE INTERLACE,POINT (24678.13872415386 29317.43202185631),32,33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014-12-05,25244.2071,29407.094,4281.17268085,442502.827591
14379,B10,BLK 40,POINT (26937.73810170777 28327.50940065272),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14381,B02,BLK 109,POINT (27118.64729816653 28513.13149871863),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
14389,B01,OPP BLK 109,POINT (27085.13470266107 28527.33759718947),60,61,15,TELOK BLANGAH RISE,BMSZ15,N,BUKIT MERAH,BM,CENTRAL REGION,CR,92F3596780DFCCEA,2014-12-05,27029.9638,28501.6649,3713.83818129,533671.253136
