"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2020-12-11",287043,2747,33237,21012,5411,108101,608904,84894502,687008,3424,7488,15848202,236933,56,218433578,2004505
"2020-12-10",284296,3132,32919,21024,4450,107300,603493,84207494,554269,3394,7444,15611269,220846,56,216429073,1934161
"2020-12-09",281164,3169,32720,20903,5300,106671,599043,83653225,611966,3376,7621,15390423,216728,56,214494912,1847512
"2020-12-08",277995,2680,32406,20475,4410,104637,593743,83041259,530492,3359,7251,15173695,217844,56,212647400,1701471
"2020-12-07",275315,1291,32120,20097,3461,102122,589333,82510767,544367,3328,7067,14955851,181897,56,210945929,1663904
"2020-12-06",274024,1163,31946,20145,2311,101501,585872,81966400,465520,3322,7095,14773954,182580,56,209282025,1674945
"2020-12-05",272861,2486,31831,19947,3513,101192,583561,81500880,626881,3321,7006,14591374,219070,56,207607080,2300204
"2020-12-04",270375,2563,31608,19853,4654,101309,580048,80873999,585720,3305,6992,14372304,230313,56,205306876,1917388
"2020-12-03",267812,2822,31276,19714,5369,100746,575394,80288279,564686,3280,6871,14141991,216271,56,203389488,1908007
"2020-12-02",264990,2811,31038,19687,5238,100327,570025,79723593,-463762,3252,6855,13925720,203429,56,201481481,1597355
"2020-12-01",262179,2489,30749,19292,4916,98736,564787,80187355,494756,3223,6643,13722291,181183,56,199884126,1501549
"2020-11-30",259690,1037,30469,18807,3394,96134,559871,79692599,628900,3205,6520,13541108,150031,56,198382577,1540590
"2020-11-29",258653,825,30274,18437,2429,93357,556477,79063699,362709,3184,6245,13391077,137254,56,196841987,1332197
"2020-11-28",257828,1243,30109,18249,3485,91762,554048,78700990,559770,3179,6148,13253823,151469,56,195509790,1685790
"2020-11-27",256585,1404,29858,18056,3418,89913,550563,78141220,730181,3171,6028,13102354,198874,56,193824000,2011765
"2020-11-26",255181,1392,29673,18019,2333,90564,547145,77411039,340800,3153,5986,12903480,129764,56,191812235,1405149
"2020-11-25",253789,2281,29540,17738,4538,90043,544812,77070239,649198,3147,5987,12773716,188496,56,190407086,1885454
"2020-11-24",251508,2091,29245,17317,4685,88132,540274,76421041,595084,3123,5626,12585220,166503,56,188521632,1876113
"2020-11-23",249417,853,28990,17060,2835,85945,535589,75825957,612485,3106,5455,12418717,154696,56,186645519,1684232
"2020-11-22",248564,923,28828,16411,2291,83882,532754,75213472,578177,3094,5233,12264021,154188,56,184961287,1826739
"2020-11-21",247641,1551,28693,16264,3375,83346,530463,74635295,675743,3087,5103,12109833,186385,56,183134548,2130564
"2020-11-20",246090,1910,28472,16146,3903,82318,527088,73959552,709119,3078,5058,11923448,197164,56,181003984,1985294
"2020-11-19",244180,2010,28216,15759,4456,80669,523185,73250433,590328,3052,4860,11726284,187932,56,179018690,1853168
"2020-11-18",242170,1885,27989,15557,4352,79478,518729,72660105,580120,3024,4699,11538352,168220,56,177165522,1700996
"2020-11-17",240285,1553,27681,15009,3887,77047,514377,72079985,513846,3004,4379,11370132,159826,56,175464526,1642283
"2020-11-16",238732,607,27437,14471,2907,73320,510490,71566139,554396,2988,4156,11210306,149977,56,173822243,1493914
"2020-11-15",238125,712,27269,13849,1868,70202,507583,71011743,576065,2975,3939,11060329,147062,56,172328329,1619092
"2020-11-14",237413,1353,27172,13491,3468,69588,505715,70435678,571664,2972,3945,10913267,167726,56,170709237,1781362
"2020-11-13",236060,1301,26997,13280,3673,68585,502247,69864014,587031,2967,3766,10745541,174633,56,168927875,1733138
"2020-11-12",234759,1112,26803,12917,3562,67236,498574,69276983,529629,2954,3622,10570908,157542,56,167194737,1618159
"2020-11-11",233647,1577,26584,12626,3281,65549,495012,68747354,512367,2947,3365,10413366,149333,56,165576578,1496644
"2020-11-10",232070,1358,26335,12057,4070,62119,491731,68234987,412416,2922,3202,10264033,135569,56,164079934,1388946
"2020-11-09",230712,577,26087,11636,2176,59342,487661,67822571,613802,2907,3111,10128464,118403,56,162690988,1398240
"2020-11-08",230135,513,25819,11223,1467,56942,485485,67208769,414407,2900,2977,10010061,112445,56,161292748,1259513
"2020-11-07",229622,1125,25721,11215,2341,56037,484018,66794362,549533,2898,2947,9897616,132113,56,160033235,1469775
"2020-11-06",228497,1185,25498,11213,3121,55005,481677,66244829,527701,2885,2850,9765503,129990,56,158563460,1708580
"2020-11-05",227312,1154,25276,11050,2553,53380,478556,65717128,524219,2872,2876,9635513,119023,56,156854880,1623292
"2020-11-04",226158,1131,25041,10892,3107,52166,476003,65192909,386395,2853,2832,9516490,105996,56,155231588,1320476
"2020-11-03",225027,1517,24796,10538,3135,50509,472896,64806514,431719,2833,2734,9410494,119949,56,153911112,1272771
"2020-11-02",223510,475,24560,9957,1399,48750,469761,64374795,542102,2809,2633,9290545,83454,56,152638341,1246468
"2020-11-01",223035,410,24457,9665,1166,47615,468362,63832693,368695,2797,2553,9207091,141973,56,151391873,1160178
"2020-10-31",222625,958,24375,9613,2116,47486,467196,63463998,535428,2786,2502,9065118,91294,56,150231695,1468173
"2020-10-30",221667,947,24230,9550,2403,46880,465080,62928570,448547,2776,2477,8973824,97942,56,148763522,1424410
"2020-10-29",220720,1060,24082,9320,2321,46191,462677,62480023,536164,2760,2399,8875882,89365,56,147339112,1398869
"2020-10-28",219660,1047,23883,9133,2461,45214,460356,61943859,457411,2744,2354,8786517,79700,56,145940243,1214920
"2020-10-27",218613,922,23701,8985,2290,44391,457895,61486448,369749,2719,2283,8706817,72255,56,144725323,1142877
"2020-10-26",217691,397,23542,8946,1697,42988,455605,61116699,478661,2703,2300,8634562,63430,56,143582446,1138096
"2020-10-25",217294,391,23420,8590,1076,41883,453908,60638038,425466,2693,2176,8571132,64471,56,142444350,1215043
"2020-10-24",216903,896,23356,8675,1822,42087,452832,60212572,471136,2691,2230,8506661,83792,56,141229307,1369867
"2020-10-23",216007,949,23221,8342,15058,41614,451010,59741436,538266,2679,2180,8422869,82575,56,139859440,1433762
"2020-10-22",215058,1117,23018,8180,2505,41114,435952,59203170,503996,2641,2147,8340294,73419,56,138425678,1306186
"2020-10-21",213941,1028,22855,8291,2123,40397,433447,58699174,353190,2622,2083,8266875,61710,56,137119492,1057880
"2020-10-20",212913,833,22662,8206,2309,39391,431324,58345984,357619,2593,2042,8205165,60574,56,136061612,1033475
"2020-10-19",212080,443,22475,8063,1605,37976,429015,57988365,561292,2577,1804,8144591,57650,56,135028137,1063463
"2020-10-18",211637,405,22391,7383,813,36536,427410,57427073,352861,2557,1762,8086941,47957,56,133964674,1066691
"2020-10-17",211232,780,22320,7466,1546,37474,426597,57074212,465369,2553,1791,8038984,57675,56,132897983,1367258
"2020-10-16",210452,891,22202,7333,1866,37479,425051,56608843,479159,2547,1740,7981309,68505,56,131530725,1244803
"2020-10-15",209561,928,22051,7303,2010,37423,423185,56129684,444549,2531,1773,7912804,63641,56,130285922,1183337
"2020-10-14",208633,801,21889,7236,2437,37184,421175,55685135,281476,2516,1775,7849163,57240,56,129102585,1116666
"2020-10-13",207832,718,21735,7104,2058,36171,418738,55403659,385444,2485,1757,7791923,46979,56,127985919,1113981
"2020-10-12",207114,285,21625,6860,1106,35148,416680,55018215,390770,2464,1663,7744944,43234,56,126871938,939966
"2020-10-11",206829,471,21553,6749,981,34609,415574,54627445,359942,2454,1646,7701710,46672,56,125931972,1092976
"2020-10-10",206358,691,21512,6752,1486,34700,414593,54267503,486053,2451,1667,7655038,57635,56,124838996,1293880
"2020-10-09",205667,913,21389,6775,1735,34974,413107,53781450,482698,2437,1651,7597403,56993,56,123545116,1271466
"2020-10-08",204754,979,21217,6694,2134,34446,411372,53298752,199808,2427,1638,7540410,55308,56,122273650,1223842
"2020-10-07",203775,929,21112,6591,2138,33565,409238,53098944,375759,2410,1650,7485102,51216,56,121049808,1087750
"2020-10-06",202846,613,20973,6490,-752,32726,407100,52723185,316804,2388,1609,7433886,38846,56,119962058,959143
"2020-10-05",202233,331,20812,6292,1447,31426,407852,52406381,448308,2370,1514,7395040,37752,56,119002915,954524
"2020-10-04",201902,380,20729,6056,663,30063,406405,51958073,420158,2362,1485,7357288,38165,56,118048391,1009540
"2020-10-03",201522,738,20686,6073,1088,30209,405742,51537915,354909,2358,1501,7319123,50874,56,117038851,1121158
"2020-10-02",200784,842,20612,6195,1443,30880,404654,51183006,498296,2348,1534,7268249,49427,56,115917693,1203940
"2020-10-01",199942,862,20492,6262,1757,30942,403211,50684710,380971,2334,1543,7218822,45720,56,114713753,1018431
"2020-09-30",199080,1064,20390,6241,1618,31021,401454,50303739,366691,2319,1510,7173102,44909,56,113695322,977207
"2020-09-29",198016,724,20247,6172,1673,30601,399836,49937048,314804,2298,1497,7128193,36766,56,112718115,994887
"2020-09-28",197292,246,20121,6048,1181,29696,398163,49622244,402626,2285,1513,7091427,35376,56,111723228,988467
"2020-09-27",197046,310,20050,6170,613,29579,396982,49219618,340575,2277,1511,7056051,34990,56,110734761,936839
"2020-09-26",196736,873,20002,6143,1225,29670,396369,48879043,459833,2272,1509,7021061,47268,56,109797922,1137690
"2020-09-25",195863,847,19919,6220,1322,29888,395144,48419210,466929,2264,1508,6973793,55237,56,108660232,1150157
"2020-09-24",195016,938,19555,6274,1484,30159,393822,47952281,420177,2177,1560,6918556,43341,56,107510075,1014464
"2020-09-23",194078,1156,19452,6200,1454,30015,392338,47532104,360940,2154,1545,6875215,39498,56,106495611,1022667
"2020-09-22",192922,859,19324,6188,1534,29645,390884,47171164,346351,2130,1558,6835717,48986,56,105472944,904792
