"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
77369,B05,OPP BLK 555
97119,B42,AFT TOH CL
50211,NIL,OPP BALESTIER PT
15159,B04,MAPLETREE BUSINESS CITY
43439,B05,BLK 242
63269,B06,BLK 232
54571,B11,BLK 532
57111,B15,OPP BLK 101
21379,B01,BLK 263
78069,B06,BLK 442
26131,B05,AFT TUAS CRES
81169,B03,OPP BLK 56
41129,B06,OPP S'PORE BIBLE COLLEGE
24379,B03,OPP ASIA IND GASES
66389,B02,S'GOON STN EXIT F
21521,B01,PB PACKAGING SYSTEMS
46979,B12,OPP BLK 507
24501,B61,BEF TUAS FLYOVER
22041,B03,AFT TG KLING RD
46649,B03,BLK 515
43379,B04,BLK 185
84321,B08,BLK 516
44459,B05,BLK 277
17011,B01,OPP VARSITY PK
21241,B01,OPP BLK 213
27379,B01,BLK 755
53219,B01,RAFFLES INSTN
21399,B05,OPP RIVER VALLEY HIGH SCH
20319,B04,BLK T PANDAN LIGHT IND PK
52479,B01,Opp EASB
44131,B04,BLK 26
12099,B06,OPP SIM HQ
53289,B02,ZION BIBLE PRESBY CH
25391,B10,BEF PIONEER RD
58101,B01,BLK 311
28631,B05,OPP BLK 288D
63109,B09,BLK 172
27409,B02,BLK 821
10401,B03,SHRIRO HSE
46349,B02,AFT BLK 353
43611,B06,BLK 290H
14199,B02,BLK 118
66581,NIL,BLK 986B
43549,B01,REGENT HTS
97069,B10,LLOYD LEAS WORK REL CAMP
77131,B01,BLK 502
78121,B07,BET BLKS 232 / 233
58201,B02,AFT QUEEN'S AVE
31059,B01,AFT CEMY OFFICE
31081,B11,OPP HQ 5TH SIB CAMP I
67341,B03,OPP BLK 204 CP
54031,B03,OPP AL-MUTTAQIN MQUE
28501,B01,BLK 490
81011,NIL,AFT ALJUNIED STN
31121,B40,NIRVANA MEMORIAL GDN
05629,B03,OPP STH PT
46741,B04,SEAGATE
52411,B05,BLK 105
66381,B01,OPP S'GOON STN EXIT F
51131,B18,OPP BRADDELL VIEW
24521,B03,BEF TUAS AVE 5
67481,B04,FERNVALE STN / BLK 439A
83239,B06,OPP CHEVIOT HILL
52029,B13,BLK 1004
80069,NIL,OPP MOHD SALLEH MQUE
11511,B16,ALEXANDRA HOSP
58229,B01A,BLK 358A CP
82099,B05,CDAC BLDG
05641,B02,BEF CANTONMENT RD
97169,B04,OPP EDWARDS LIFESCIENCE
55251,B03,COUNTRYSIDE EST
04251,B01,OPP HIGH ST CTR
53271,B03,OPP KUO CHUAN PRESBY SCH
66161,B03,OPP CROWHURST DR
70079,B06,AFT REGENT MOTORS
22451,B09,OPP BLK 643
57061,B09,DIEPPE BARRACKS
43601,NIL,OPP BLK 532
67211,B09,RANGGUNG STN EXIT A
92059,B04,BET BLKS 72/74
60201,B01,18 WOODSVILLE
45391,NIL,BLK 657
83319,B03,AFT LOR J TELOK KURAU
49239,B06,OPP NYEE PHOE GROUP
