"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
29091,B06,OPP SIA HUAT
21311,B14,BEF TRACTOR RD
75009,NIL,TAMPINES INT
68091,B01,AFT BAKER ST
52071,B06,TRELLIS TWRS
84339,B02,BLK 416
45141,B01,AFT W'LANDS RD
44399,B02,OPP BLK 210
27439,B07,BLK 861
67531,NIL,BLK 158C
27441,B10,BET BLKS 757 / 758
65169,B03,MERDIAN STN EXIT A
50209,B09,AFT PEGU RD
23509,B01A,HOE KENG MOTOR
83341,B03,BLK 102
81029,B10,AFT LOR 28 GEYLANG
55039,B45,NCS HUB
61029,B06,OPP WOODLEIGH PK
14119,B02,OPP VIVOCITY
22529,B05,PIONEER STN EXIT B
59011,B11,BEF SG SELETAR BRIDGE
95129,B01,CHANGI AIRPORT PTB2
99011,B15,BEF SCH OF COMMANDO
50201,B10,SHAW PLAZA
43181,B08,KEMING PR SCH
58091,B37,SEMBAWANG PK
21309,B01,AFT JLN PESAWAT
90061,B14,DUNMAN HIGH SCH
49019,B02,KIM HOCK CORP PTE LTD
05023,B04,OPP HONG LIM PK
33021,B17,OPP NEO TIEW RD
05131,B01,OPP HONG LIM CPLX
28481,B02,BLK 306
60061,NIL,AFT INFINEON
46579,B05,BLK 154
56201,B52,AFT MUNSHI ADULLAH AVE
14299,B01,OPP BLK 27
67509,B02,OPP BLK 119A
99161,B08,BEF CHANGI BEACH CP 3
28401,B07,BLK 502
63099,B11,BLK 106
28269,B14,BLK 118
84449,B01,BLK 509
64051,B33,BLK 465A
84459,B02,BET BLKS 705/706
12051,B05,PINE GR CONDO
82089,B03A,AFT IPOH LANE
64339,B02,BLK 602
44241,B06,OPP LOMPANG RD
82079,B03,TG KATONG GIRLS' SCH
28699,B02,OPP UNI-TECH CTR
44159,B01,BT BATOK FIRE STN
63131,B03,THE TEMBUSU
62041,B13,OPP BETHANY PRESBY CH
78091,B01,OPP DOWNTOWN EAST
52349,B06,UNITED MEDICARE CTR
59059,B06,BLK 608
11061,B09,OPP QUEENSWAY SEC SCH
11491,B05,OPP QUEENSTOWN PR SCH
75159,B04,BLK 874
44661,B06,BLK 532
95131,B09,POLICE PASS OFF
43139,B01,OPP BT PANJANG PR SCH
13191,B01,BEF ORCHARD BLVD
14229,B06,ST. TERESA'S CH
24529,B04,AFT TUAS AVE 5
15221,B13,AFT STH BUONA VISTA RD
55219,B01,BEF ANG MO KIO AVE 9
14049,B11,OPP BLK 55
58089,B36,AFT ANDREWS AVE
44579,B01,AFT BLK 272
51011,B11,OPP TAN TONG MENG TWR
55119,B26,BLK 617
05129,B01,HONG LIM PK
62179,B02,BLK 421
77049,B10,PASIR RIS TOWN PK
10051,B01,BLK 149
64439,B01,BLK 537
54599,B05,BLK 5056
55041,B44,OPP UE BIZHUB CTRL
55321,B11,OPP NANYANG POLY
55241,B01,AFT YIO CHU KANG RD
44379,B02,OPP BLK 219
54469,B21,OPP BLK 649
57079,B12,KHATIB CAMP
23451,B01,JURONG SHIPYARD
42029,B28,AFT SWISS CLUB RD
48031,B18,LP 162
93131,B02,OPP EASTERN LAGOON II
43579,B04,BT GOMBAK STN
67021,B32,OPP DEDAP RD
11409,B03,BLK 9
45299,B06,BLK 702
84069,B12,BLK 55
23469,B02,OPP TANOTO SHIPYARD
64241,B02,BLK 308
43609,B02,BLK 531
59241,B14,BLK 236
70019,B08,BLK 125
53141,B10,OPP WHITLEY SEC SCH
75089,B03,BLK 827
67511,B03,BLK 121E
92191,B11,OPP CP C3
28671,B05,ALLIANCE BLDG
53029,B04,SHUNFU EST
60181,B17,AFT MOONSTONE LANE
43521,B07,BT BATOK DRIVING CTR
23239,B12,OPP KEPPEL LOGISTICS
80009,B06,LOR 1 GEYLANG TER
21191,B05,JURONG TOWN STADIUM
32111,NIL,AFT LP 93
45209,B25,POLICE TACTICAL TRG CAMP
62229,B05,THE MINTON
47521,B05,AFT WOODLANDS DR 53
56261,B17,AFT ANG MO KIO AVE 2
78149,B04,OPP GREENVIEW SEC SCH
77361,B06,BLK 555
16039,B22,S'PORE SCIENCE PK II
46911,B07,OPP BLK 20
53311,B03,OPP BOSCH
10391,B04,OPP MELATI BLK 2
49079,B01,WASON WOOD IND
54299,B10,OPP BLK 565
47539,B02,OPP WOODGROVE SEC SCH
66519,B01,OPP SEAGATE
78191,B05,AFT BLK 182
25231,B43,OPP ASIA-PACIFIC BREWERY
64079,B01,PUNGGOL PK
59169,B05,BET BLKS 201/202
67141,B04,BLK 119D
76339,B03,OPP TAMPINES CHANGKAT CC
10349,B03,BLK 116
43709,B06,BLK 644
14061,B03,OPP FORMER RAILWAY STN
28389,B02,OPP BLK 515
62049,B14,AFT PAYA LEBAR CRES
14509,B01,BLK 92B
22421,B05,NATL OXYGEN PTE LTD
17419,NIL,SUNSET WAY P/G
54339,B06,BLK 422
45591,UNK,FUCHUN CC
67451,B02B,BEF BUANGKOK DR
03071,B03,OPP SO SOFITEL S'PORE
14071,B05,KEPPEL WORKSHOP
67269,B08,OPP BLK 203A
67489,B03,OPP FERNVALE STN
78089,B03,BLK 405
24349,B09,KEPPEL SHIPYARD
21131,B13,BEF JURONG PORT RD
28451,B05,PARC OASIS
28039,B04,AFT BOON LAY SUB STN
48089,B07,UPP SELETAR RESVR
65269,B09,BLK 162B
65151,B06,COVE STN EXIT B
46901,B05,BLK 15
16169,B07,NUS RAFFLES HALL
21659,B10,CHINESE GDN
44679,B04,OPP BLK 502
54039,B04,BEF AL-MUTTAQIN MQUE
66121,B01,CHUAN TERR
76071,B02,BLK 141
05521,B02,MARITIME HSE
46711,B03,BEF ADMIRALTY RD WEST
26119,B02,OPP TRUSSCO PTE LTD
21689,B26,BLK 200
63179,B06,BEF TAI SENG CHR CH
28369,B20,OPP JURONG LAKE
63041,B23,OPP GLAD TIDINGS CH
59431,B04,BLK 630
23391,B03,FAR EAST LEVINGSTON
56069,B30,BEF TAGORE DR
01121,B11,STAMFORD PR SCH
98299,NA,PARC OLYMPIA
46921,B05,OPP BLK 22
14201,B03,BLK 110
22559,B33,OPP BLK 657 CP
72019,B06,EUNOS MANSIONS
59301,B24,BLK 731
10241,B01,GAN ENG SENG SEC SCH
52021,B14,OPP BLK 1004
47499,NA,OPP TWINS FOUNTAIN
47491,NA,TWINS FOUNTAIN
96071,B03,OPP ITE COLL EAST TEC BLK
08121,B01,SOMERSET STN
47509,NA,BLK 583
44071,B06,BLK 464
83171,B04,BEF ROSEBURN AVE
34039,B06,BEF LIM CHU KANG LANE 6
59129,B19,OPP BLK 121
47529,UNK,BLK 573A
49039,B06,ASIA RATTAN
66009,NIL,SERANGOON INT
98291,NA,OPP PALM ISLES
26299,B13,BEF TUAS STH AVE 6
22549,B35,OPP BLK 655 CP
52441,B02,BLK 202
46491,B07,BLK 402
21349,B07,BEECHAM PTE LTD
54199,B04,BLK 163
67049,B27,THE GREENWICH
32101,NIL,AFT MURAI FARMWAY
44811,B05,WEST SPRING SEC SCH
53051,B07,BEF THOMSON PLAZA
50111,B01,REVIVAL CTR CH
81049,NIL,AFT LOR 34 GEYLANG
56019,B20,BEF ANG MO KIO AVE 1
75231,B06,OPP TEMASEK POLY
76401,B05,BLK 230B
43569,B05,BT GOMBAK STADIUM
67459,B01B,AFT BUANGKOK DR
58279,B02,OPP BLK 336A CP
66109,B02,BLK 151
81231,B01,OPP KH PLAZA
76099,B05,BLK 285
14379,B10,BLK 40
23171,B12,SKK (S) PTE LTD
22331,B01,JURONG SHIPYARD
83059,B10,MJD KASSIM
77319,B04,OPP BLKS 771/772
59639,NIL,BET BLKS 445/449
26399,NIL,AFT TUAS VIEW CRES
83331,B01,KG KEMBANGAN CC
43841,B01,BLK 324
27381,B04,BLK 749
85049,B08,OPP MAN FATT LAM TP
21341,B08,OPP BEECHAM PTE LTD
07241,B07,BEF S'GOON RD
99131,B02,BLK 4
24359,B07,S'PORE TAKADA IND
43619,B05,BLK 289E
66221,B01,OPP PORTCHESTER AVE
75139,B07,BLK 863
45221,B32,AFT W'LANDS RD
75008,NIL,TAMPINES INT
12039,B02,OPP PANDAN VALLEY CONDO
64021,B09,BLK 458
18199,B03,AFT WHITCHURCH RD
59461,B01,OPP BLK 419
70181,B05,BLK 36
67159,B01,KANGKAR STN EXIT A
97061,B11,CHANGI BAPTIST CH
46521,B06,MARSILING STN
45129,B28,S'PORE TURF CLUB
62119,B10A,AFT SUNSHINE LODGE
84529,B04,BLK 109
66031,B05,CARDIFF RESIDENCE
17289,B05,WEST COAST CC
24019,B25,LIANG HUAT IND CPLX
46581,B08,OPP BLK 146
23501,B02A,AFT PIONEER RD NTH
97149,B02,AFT VICOM
19081,B04,OPP ACS BOARDING SCH
10249,B02,OPP GAN ENG SENG SEC SCH
64091,B01,HOUGANG PR SCH
97141,B01,AFT UPP CHANGI RD NTH
28399,B04,BLK 458
02119,B02A,OPP WAR MEMORIAL PK
56081,B33,BEF SLE
21119,B10,BEF JURONG PIER RD
18319,B06,OPP UNIVERSITY HALL
46359,B04,AFT BLK 336
81031,B11,BLK 134
64469,B05,OPP BLK 579
01211,B13,OPP BLK 461
13021,B01,AFT MIN OF FOREIGN AFFAIRS
98069,B12,AFT ENGINE TEST FACILITY
23129,B07,LEROY-SOMER
10501,B07,BLK 104
10018,B12,OUTRAM PK STN EXIT F / SGH
42199,B10,AFT BT BATOK EAST AVE 6
05411,B06,TG PAGAR PLAZA
94099,B01,AFT E.C. SEA SPORTS CLUB
11019,B18,PK HOTEL ALEXANDRA
18041,B02a,NORMANTON PK
26129,B04,BEF PENGUIN INT'L LTD
46109,B05,W'LANDS CHECKPT
45449,B01A,ENG HUA FURNITURE MFG PTE LTD
16151,B21,THE JAPANESE PR SCH
41111,B01,LUTHERAN TWRS
45309,B03,BLK 754
26331,B05,RS COMPONENTS
43859,NIL,OPP DAIRY FARM EST STH GATE
59009,INT,YISHUN TEMP INT
01511,B05,OPP THE GATEWAY
10171,B09,OPP TIONG BAHRU PK
54449,B02,OPP BLK 507
60211,B01,AFT TAI THONG CRES
13209,B03,OPP BRITISH HIGH COMSN
64109,B16,GRACEHAVEN S ARMY
21151,B03,CWT DISTRIPARK
52079,B05,OPP TRELLIS TWRS
28421,B04,BLK 517
66531,B01,OPP BLK 531
63201,B11,BLK 133
68039,B08,AFT ABUNDANT GRACE CH
92111,B01,OPP ROXY SQ
84559,B03,OPP BLKS 50/51
67609,B02,BUANGKOK STN EXIT A
17169,B14,BLK 329
45259,B14,BLK 523
11539,B11,LEA HIN HARDWARE FTY
02161,B02,PROMENADE STN
14169,B10,OPP TELOK BLANGAH STN
70211,B01,BLK 90
93109,B01,BEF FRANKEL PL
20081,B04,CARRIER S'PORE
64509,B01,BLK 941A
14349,B01,BLK 59
43561,B06,OPP BT GOMBAK STADIUM
65079,B16,BLK 102C
25389,B04,AFT TUAS AVE 8
80249,B01,BLK 49 MKT/FC
68101,B04,ROLLS ROYCE PTE LTD
77041,B09,BLK 541
96239,B06,CEVA FREIGHT
71151,B04,BLK 3021
58319,B07,BLK 357C
98041,B07,OPP LOYANG VALLEY
44121,B02,BLK 113
76419,B02,BLK 307A
24041,B14,OPP PASIR LABA CAMP
45091,B23,OPP JLN BUMBONG
77181,B01A,BLK 638
21581,B05,BLK 65
56259,B06,HORIZON GDNS
11609,B01,BLK 163
47829,B13,SUMITOMO BAKELITE S'PORE
84461,B13,OPP BLK 701
67539,NIL,BLK 122C
25189,B04,SOON HENG GLASS
96011,B03,BEF SIMEI AVE
44321,B01,OPP BANGKIT STN
83149,B09,AFT CHANGI RD
10179,B08,TIONG BAHRU PK
27069,NIL,BLK 41
76089,B03,THE HOLY TRINITY CH
44101,B06,AFT HONG SAN TERR
10309,B04,BLK 118
59419,B05,BLK 413
65031,B05,BLK 227D
64499,B05,REGENTVILLE
75239,B05,TEMASEK POLY
10101,B13,OPP BT MERAH SEC SCH
48021,B20,AFT MANDAI LAKE RD
52031,B12,OPP BLK 998
28119,B02,BEF BT BATOK RD
59581,B01,BLK 432C
45339,B02,BLK 625
60141,B13,OPP BENDEMEER PR SCH
21109,B01,CTRL FISH PROC FTY
46969,B01,BLK 532
11201,B03,CSC DEMPSEY CLUBHSE
49061,B11,POH CHEONG CONCRETE PRODUCTS
52139,B11,OLEANDER TWRS
53171,B01,BLK 23
55111,B25,BLK 180
52539,B09,BLK 210 MKT/FC
27131,B06,BLK 932
46681,B05,BLK 899A
98131,B07,BEF LOYANG WAY 1
76351,B05,BLK 484
43011,B07,BT REGENCY
92051,B03,OPP BLK 72
76079,B01,BLK 101
27099,B15,BLK 271 CP
29159,UNK,AFT TEBAN GDNS CRES
04167,B05,CITY HALL STN EXIT B
63369,B02,S'GOON SPORTS CPLX
70261,B09,OPP ORION @ PAYA LEBAR
21459,B05,BLK 209
52099,B01,OPP NKF
59311,B26,BLK 760
29101,B04,PPL SHIPYARD
21441,B03,BLK 207
67301,B01,BLK 305D
44239,B03,OPP ZHENGHUA PR SCH
58331,B01,BLK 589D
27469,B03,BLK 276B
43267,B03,HILLVIEW HTS
57059,B08,OPP SEMBAWANG AIR BASE
67199,B03,OPP BLK 223D
44389,NIL,OPP BLK 201
84549,B01,OPP BLK 42
63181,B07,BEF ST HELIER'S AVE
44269,B01,BLK 223
10017,B14,AFT HOSP DR
63351,B02,OPP HOUGANG SWIM CPLX
44139,B03,OPP BLK 26
97171,B05,OPP SATS CATERING
26349,B02,TUAS TECHNOLOGY PK
70299,B04,OPP ASIAWIDE IND BLDG
53149,B09,WHITLEY SEC SCH
63331,B04,BLK 615
77161,B04,BLK 741
16069,B28,HENG MUI KENG TERR
45441,B02A,OPP ENG HUA FURNITURE MFG PTE LTD
59339,B01,BLK 776
84089,B07,BLK 40
46341,B01,ROSEWOOD
09179,B18,ROYAL THAI EMBASSY
46361,B01,BLK 425
47641,B01,BLK 681A
25369,B01,JAS METAL COATINGS
84541,B02,BLK 42
10219,B02,OPP MOTOR IMAGE
17149,B13,BLK 426
28381,B01,BLK 515
32079,B24,OPP TRACK 13
21419,B01,BLK 188
70321,B04,AFT KALLANG WAY 1
07319,B06,AFT ALLENBY RD
28019,B22,AFT TOH TUCK AVE
55329,B12,NANYANG POLY
51041,B17,OPP SLF CPLX
29031,B04,AFT PENJURU PL
70081,B03,OPP HDB CP
05319,B01,OCBC CTR
77321,B02,AFT PASIR RIS ST 53
59089,B25A,OPP BLK 774
55009,NIL,ANG MO KIO DEPOT
44659,B09,BLK 537A CP
59211,B01,BLK 289
16081,B31,AFT PALM GREEN CONDO
26259,NIL,AFT TUAS STH AVE 2
47089,B02,AFT SENOKO DR
20159,B20,BLK 411
46008,INT,WOODLANDS REG INT
24269,B20,SING HUAT HARDWARE
58111,B05,BLK 351 CP
43259,B05,OPP HILLBROOKS
21199,B06,OPP JURONG TOWN STADIUM
10291,B09,BEF DAWSON RD
44361,NIL,BEF DAIRY FARM RD
83281,B02,BEF TOSCA ST
85069,B12,BEDOK MKT PL
75219,B03,BLK 889
67279,B01,BLK 301D
13069,B13,RV RESIDENCES
53111,B04,BEF MARYMOUNT LANE
43879,NIL,OPP HSE NO 42
96129,B08,MELVILLE PK
28329,B02,BLK 246
45179,B05,SRI ARASAKESARI SIVAN TP
58041,B27,BLK 590C
76359,B06,BLK 493B
77301,B05,BLK 778
46659,B03,OPP BLK 550
40051,B11,BALMORAL PLAZA
26269,B07,BEF TUAS STH AVE 4
65039,B06,BLK 124
27129,B11,OPP NANYANG AVE
70319,B01,AFT KALLANG WAY 4
94059,B18,TEMASEK SEC SCH
90011,B04,BEF TG RHU VIEW
70121,B07,AFT JLN MUHIBBAH
95051,B03,3RD CARGO AGENTS
63321,B06,BLK 627
97059,B08,CHANGI WOMEN'S PRISON
58491,NIL,OPP BLK 507A
77279,B03,AFT PASIR RIS IND DR 1
42139,B03,AVENUE VILLA
59231,B16,BLK 227
53419,B01,OPP GUANGYANG PRI SCH
84691,B12,BLK 171
14161,B09,TELOK BLANGAH STN
18019,B17,BEF TELOK BLANGAH HILL PK
18189,B05,TANGLIN TRUST SCH
54509,B09,AFT BLK 5000
51139,B19,BRADDELL VIEW
97151,B01,AFT CHANGI NTH ST 2
21249,B02,BLK 213
46779,B01,ADMIRALTY STN
21129,B12,OPP SPC SVC STN
46251,B01,RIVERSIDE SEC SCH
16199,B01,NUS FAC OF DESIGN & ENV
11111,B07,FARRER RD STN EXIT B
65261,B10,BLK 649
28071,B11,BLK 105
84511,B33,BLK 608
63379,B12,BLK 608
67039,B29,AFT SELETAR RD
58171,B04,SEMBAWANG CORP INDUSTRIES
43401,B02,BT BATOK POLYCLINIC
25459,B10,OPP TUAS WEST ST
02159,B03,OPP SUNTEC CONVENTION CTR
93151,B19,OPP CABLE SKI PK
27411,B03,BLK 844A CP
77101,B07,BEF PASIR RIS RD
84131,B02,OPP PANASONIC
62221,B06,OPP THE MINTON
49179,B01,AFT KRANJI CRES
18301,B03,LIM SENG TJOE (LT 27)
21691,B27,OPP SUMMERDALE
43041,B11,HUME PK CONDO
48059,B13,OPP MANDAI AGROTECH PK
94069,B20,OPP KEW GREEN CONDO
52529,B08,BEF BLK 221
64411,B04,BLK 670
59369,B01,BLK 647
48081,B08,OPP UPP SELETAR RESVR
66329,B01,BLK 126
75361,B01,BEF TAMPINES IND AVE 5
53049,B08,BEF JLN TODAK
68159,B14,AFT SHELL AVIATION
33051,B11,BEF LIM CHU KANG LANE 3A
70049,B01,AFT BLK 4
83079,B12,BEF SIGLAP PLAIN
10011,B11,BEF NEIL RD
98141,B09,GE AIRCRAFT ENGINES
43321,B01,OPP BLK 144
67501,B01,BLK 117C
11089,B14,OPP HOLLAND HILL LODGE
58291,B04,BLK 317
83351,B01,GROSVENOR VIEW
50171,B18,ZHONGSHAN MALL
77211,B17,BLK 626
58081,B35,OPP JLN JANGGUS
76149,B10,OPP TAMPINES STN/INT
84039,B06,BEDOK STN EXIT A
27051,NIL,NIE LIB
83159,NIL,OPP PARKWAY EAST HOSP
32039,B32,AFT AMA KENG RD
27241,B13,HALL 7
61009,B04,BLK 122
85079,B04,FLEXTRONIC
76251,B06,BLK 487B
63249,B18,BLK 1
64199,B24,BEF TPE
43541,B02,BLK 510
05049,B05,CHINATOWN PT
55331,B01,AFT LENTOR GR
70271,B11,LE CRESCENDO
70279,B10,OPP TRINITY @ PAYA LEBAR
70289,B02,AFT TAI SENG STN EXIT C
78269,NIL,RIPPLE BAY
52341,B05,PEI CHUN PUBLIC SCH
70281,B01,AFT TAI SENG STN
52381,B05,BRADDELL TECH BLDG
84019,B02,OPP CHAI CHEE IND PK
67061,B24,AFT JLN SELASEH
55171,B13,CASTLE GREEN
84281,B18,BLK 180
04229,B03,HIGH ST CTR
99019,B16,AFT SCH OF COMMANDO
16091,B08,OPP SIT DOVER
49051,B09,BEF SG KADUT ST 5
25169,B08,OPP GALMON S'PORE
14231,B09,KEPPEL DP BLK 519
59008,INT,YISHUN INT
58211,B02,SEMBAWANG STN
43191,B03,BLK 288C
26171,B01,RICHEE ENGRG
18089,B06,S'PORE POST
50037,B06,NOVENA STN EXIT B
59601,B02A,BLK 391
22579,B30,BOON LAY MRT STN
50029,B02,OPP UNITED SQ
54079,B10,OPP BLK 315
06161,B01,BLK 2
22181,B05,S'PORE POST
70311,B02,AFT GENTING LANE
66539,B01,BLK 531
44609,B02,BLK 408
64071,B02,OPP PUNGGOL PK
60139,B05,BLK 44
75261,B02,BET BLKS 710/713
77331,B06,BLK 747A
84491,B08,BLK 629
93111,NIL,BEF ELITE PK AVE
41139,B04,AFT THE JAPANESE ASSN
22011,B14,JURONG BIRD PK
28529,B06,BLK 441
40019,B02,LITTLE INDIA STN
27031,NIL,HALL 12
54539,B07,BISHAN PK
59099,B14,BLK 220
76349,B04,DUNMAN SEC SCH
29021,B06,AFT JLN BUROH
04121,B03,SMU
64319,B05,OPP BLK 344
44631,B01,OPP BT PANJANG PLAZA
07021,NIL,SELEGIE CTR
45291,B05,OPP BLK 704
11589,B03,BLK 157
68051,B11,BEF TPE
80229,B04,BLK 45
58409,NIL,Blk 491
16211,B01,WHARVES BLDG
17379,B04,BLK 304
58421,B03,Blk 353
98051,B09,BEF LOYANG WAY
54331,B05,BLK 346
75161,B03,BLK 855
59019,B12,AFT SG SELETAR BRIDGE
22259,B04,BLK 668D
50161,B16,BEF JLN DUSUN
84129,B03,FUJITEC S'PORE LTD
58501,B02,BLK 592A
25191,B01,ASIATIC ENGRG
76131,B07,UOB TAMPINES CTR
81119,B03,PAYA LEBAR STN EXIT C
18021,B03,OPP GEMPLUS
47629,B14,SEAGATE
44451,B06,BLK 224
99029,B18,AFT CRANWELL RD
42161,B03,BLK 18
46611,B08,FUCHUN SEC SCH
23479,B08,BEF BENOI RD
44491,B03,BLK 416
84381,B08,BLK 544
16231,B05,WHOLESALE CTR
12189,B05,BEF MT SINAI DR
27451,B02,BET BLKS 272D / 271A
45301,B04,BLK 708
92061,B05,CHIJ KATONG CON (PR)
68119,B14,AFT SELETAR CAMP G
24021,B28,MERITOR HEAVY VEH SYSTEMS
22229,B07,BEF PIONEER RD NTH
55121,B27,OPP BLK 604
31201,B35,AFT CHINESE CEMY PATH 13
82071,B04,OPP TG KATONG GIRLS' SCH
24029,B27,MAZAK S'PORE
07221,B07,SRI VADAPATHIRA K TP
84579,B03,AFT CHAI CHEE ST
44079,B05,OPP BLK 464
10381,B02,OPP BLK 48
24531,B02,UTRACON CORP
17279,B03,BLK 723
66341,B05,DAIKIN S'PORE
66099,B02,OPP GOLDEN HILL EST
46841,B07,OPP BLK 739A CP
14269,B01,BLK 10
66351,B01A,S'GOON STN EXIT B
75141,B10,BLK 730
84599,B07,OPP SBST BEDOK NTH DEPOT
52471,NIL,EASB
76161,B02,OPP BLK 248
46609,NA,KOTARAYA II TER
97049,B06,CHANGI PRISON
47601,B12A,BLK 793
63161,B03,S'GOON SWIM CPLX
70269,B08,CITIPOINT IND CPLX
52149,B09,OPP PHILIPS S'PORE
42169,B04,OPP BLK 19
65159,B05,COVE STN EXIT A
14291,B02,BLK 27
21601,B09,BLK 357
49229,B02,LONG KUAN HUNG CROCODILE FARM
04168,B03,AFT CITY HALL STN EXIT B
62139,B14,S'GOON STN EXIT A / BLK 413
46211,NIL,JOHOR BAHRU CHECKPT
14499,B04,TELOK BLANGAH MKT/FC
22441,B01,BLK 669 CP
67251,B01,COMPASSVALE STN EXIT A
66081,B02,OPP S'PORE POWER TRG INST
57119,B16,BLK 101
24619,B10,OPP MARINTEKNIK
84641,B02,BLK 24
12031,B01,PANDAN VALLEY CONDO
43789,B11,BLK 436A
53181,B03,AMTECH BLDG
51109,B01,OPP OLD POLICE ACAD
63169,B04,OPP S'GOON SWIM CPLX
46241,B02,OPP BLK 15
11311,B10,HSE NO. 532
45311,B05,BLK 547
56079,B32,AFT OLD UPP THOMSON RD
22309,B03,AFT FAN YOONG RD
32069,B26,B26 LIM CHU KANG RD
85039,B06,OPP EXCELSIOR GDNS
59549,B03,KHATIB CAMP
64031,B03,BLK 436
46269,B10,REPUBLIC POLY
54209,B06,BET BLKS 152/155
59081,B26A,BLK 774
59361,B02,BLK 602
43759,B13,BLK 443D
05241,B01,OPP BLK 333
09212,B07,ROYAL PLAZA ON SCOTTS
47559,B06,OPP BLK 630
44629,B08,BLK 457
21019,B05,AFT YUAN CHING RD
84391,B06,BLK 534
47569,B01,OPP BLK 620
14259,B03,BLK 11
80169,B04,Nicoll Highway Stn
54301,B07,BLK 5022
15121,B04,SCI PK 2 / THE GEMINI
54401,B04,BLK 522
53259,B02,OPP BLK 125
66131,B04,TRINITY METH CH
76459,B01,BLK 323
11279,B14,AFT CORONATION RD WEST
85019,B02,EASTWOOD CTR
49139,B07,BEF SG. KADUT WAY
64379,B02,PUNGGOL CC
57031,B03,NEE SOON DRICLAD CTR
96111,B01,OPP ITE COLL EAST ADM BLK
25469,B12,BEF TUAS WEST AVE
47579,B03,BLK 556
52259,B02,OPP CHUNG HWA FREE CLINIC
10361,B06,CENDEX CTR
16161,B08,NUS MUSEUMS
46539,B03,BLK 320
46009,INT,WOODLANDS REG INT
59119,B05,OPP BLK 701A
97209,B10,CHANGI CHAPEL MUSEUM
96191,B03,BLK 224
77241,B17,OPP BLK 640
77119,B02,AFT PASIR RIS WAY
43251,B06,HILLBROOKS
54319,B02,OPP CHRIST THE KING CH
56251,B05,OPP HORIZON GDNS
53339,B03,OPP BRIGHT HILL TP
46059,B38,GLOBALFOUNDRIES / AFT BKE
23401,B05,OPP MOBIL MARINE TER
81189,B04,DAKOTA STN EXIT B / BLK 60
84269,B03,BLK 95
46821,B01,BET BLKS 712/713
84379,B04,OPP BLK 546
12109,B04,OPP NGEE ANN POLY
84121,B04,AFT BEDOK STH AVE 1
84299,NIL,BEDOK NTH DEPOT
50199,NIL,OPP SHAW PLAZA
14109,B08,KEPPEL DP BLK 517
10269,B04,OPP DELTA SPORTS HALL
43241,B08,OPP HILLVIEW APTS
52039,B11,AFT MUHAJIRIN MOSQUE
40129,B02,NEWTON LIFE CH
24279,B18,CAMERON IRON WORKS
10089,B08,BLK 119
21361,B04,BLK 695
47081,B01,AFT SENOKO CRES
92171,NIL,MARSHALL LANE
03059,B01,ONE RAFFLES QUAY
95171,NIL,PROLOGIS
54459,B23,BLK 151
55021,B48,OPP SEASONS PK
11489,B08,OPP QUEENSTOWN LIB
49181,B02,DAPOLITE IND
12119,B08,POLICE KINS TRG CAMP
43059,B10,THE RAIL MALL
21291,B04,AFT JLN BUROH
43489,B06,OPP BLK 315
67131,B06,BAKAU STN / BLK 122F
23149,B01,VARCO
62219,B01,BLK 158
77309,B06,OPP BLK 778
49109,B04,KRANJI WTR RECLAM PLT
14401,NIL,OPP THE FURNITURE WAREHSE
43839,B01A,OPP BLK 336
24611,B09,BEF MARINTEKNIK
23139,B03,BEF LOK YANG WAY
66201,B01,OPP BROCKHAMPTON DR
03419,B02,MARINA STH PIER
21069,B08,BEF JLN TEPONG
21011,B06,AFT JURONG LAKE
58179,B03,OPP SEMBAWANG CORP INDUSTRIES
84051,B09,BEDOK SPORTS CPLX
93119,B04,AFT ELITE PK AVE
18159,B09,ONE-NORTH STN / GALAXIS
27389,B03,GEK POH SHOP CTR
80239,B02,BEF BLK 53
20019,B15,BLK 431
46181,B04,OPP BLK 12
25269,NIL,TUAS CHECKPT
14279,B03,BLK 25
43331,B01,OPP BT BATOK PRESBY CH
28649,B04,BLK 286A
16111,NIL,ARIES
60269,B02A,POTONG PASIR STN EXIT B
05429,B01,BEF CRAIG RD
46941,B01A,OPP NYLECT ENGRG
95179,NIL,DHL
22081,B03,OPP NATSTEEL
15169,B06,HARBOURSIDE IND BLDG 2
92101,B21,KATONG SHOP CTR
21641,B07,OPP LAKESIDE APT
22009,INT,BOON LAY INT
30081,B02,OPP HAI INN SEE TP
71161,B02,BLK 3019
41141,B01,AFT ADAM DR
66069,B05,BEF BRADDELL FLYOVER
01549,B05,OPP DUO RESIDENCES
52299,B03,BLK 50
58131,B09,AFT ASSYAFAAH MQUE
58181,B02,POLICE DRV CIRCUIT
54391,B07,AFT ANG MO KIO INT
43719,B01,MINDEF CP
84639,B20A,AFT WATERFRONT WAVES
98171,B15,OPP SIA SUPPLIES CTR
76259,B05,OPP BLK 487B
41101,B03,ST. MARGARET'S SEC SCH
27361,B04,BLK 710
44281,B03,BLK 8
11029,B02,BLK 166
53021,B03,OPP SHUNFU EST
17029,B04,OPP WASEDA S SNR HIGH SCH
77311,B03,BET BLKS 771/772
62161,B04,ST. GABRIEL'S SEC SCH
07571,B05,SUNSHINE PLAZA
67111,B05,CHIJ ST. JOSEPH'S CONVENT
07518,B05,OPP NAFA CAMPUS 3
93201,NIL,VICTORIA SCH
